race_id,escape_strength,inner_collapse_risk,attack_pressure,race_upset_score,probability_flatness,dynamic_rerank_subset,scenario,result_scenario,winner_course,winner_style,lane1_status,top3_shape,is_outer_chain,is_inner_dominant
2026-07-11_15_04,0.2372609097605262,0.5425865402423472,0.3794408494436288,0.48745881939409397,0.9486094079941995,attack_or_collapse,S4_C4_WIN_KADO,C4__SASHI__IN_REMAIN__OUTER_CHAIN,4,SASHI,IN_REMAIN,OUTER_CHAIN,True,False
2026-07-11_15_05,0.2441351474557408,0.5380073339031837,0.35876852279445226,0.4644784327159246,0.944658004550605,attack_or_collapse,S1_C2_SASHI_IN_REMAIN,C2__SASHI__IN_REMAIN__INNER_CENTER,2,SASHI,IN_REMAIN,INNER_CENTER,False,False
2026-07-11_15_06,0.32500560370382603,0.4813966340205813,0.3292310258298814,0.44924149447852274,0.9324650108520653,stable_escape,S3_C3_WIN_CENTER,C3__MAKURI_SASHI__IN_REMAIN__CENTER_OUTER,3,MAKURI_SASHI,IN_REMAIN,CENTER_OUTER,False,False
2026-07-11_15_07,0.2634724081967114,0.5155564899677626,0.3597821057330853,0.46151098206323854,0.911708781448852,neutral,S5_OUTER_WIN_OR_CHAIN,C5__MAKURI__IN_OUT__OUTER_CHAIN,5,MAKURI,IN_OUT,OUTER_CHAIN,True,False
2026-07-11_15_08,0.3134911706997366,0.48802449505686046,0.3367295144113114,0.4410995267460487,0.9011789690788403,stable_escape,S1_C2_SASHI_IN_REMAIN,C2__SASHI__IN_REMAIN__INNER_TOP3,2,SASHI,IN_REMAIN,INNER_TOP3,False,True
2026-07-11_15_09,0.2406055344271222,0.5479039695211018,0.3955622513227855,0.4839465078915512,0.9494167563646694,attack_or_collapse,S0_C1_ESCAPE_IN_WIN,C1__ESCAPE__IN_WIN__INNER_CENTER,1,ESCAPE,IN_WIN,INNER_CENTER,False,False
2026-07-11_15_10,0.2938920711318893,0.5179471792642136,0.3933544471898335,0.4748398717962347,0.9210684727584959,attack_or_collapse,S0_C1_ESCAPE_IN_WIN,C1__ESCAPE__IN_WIN__INNER_CENTER,1,ESCAPE,IN_WIN,INNER_CENTER,False,False
2026-07-11_15_11,0.2297190888553016,0.5374838710667371,0.3618008561985845,0.47405066844616917,0.9178692349743531,attack_or_collapse,S0_C1_ESCAPE_IN_WIN,C1__MEGUMARE__IN_WIN__INNER_CENTER,1,MEGUMARE,IN_WIN,INNER_CENTER,False,False
2026-07-11_15_12,0.317555034445204,0.5013770869766576,0.3695940762083092,0.4635712909365668,0.8943286496637988,stable_escape,S0_C1_ESCAPE_IN_WIN,C1__ESCAPE__IN_WIN__MIXED,1,ESCAPE,IN_WIN,MIXED,False,False
2026-07-11_16_01,0.3415868040952702,0.4772626246052826,0.3318285702044551,0.4427902194823062,0.9148360969157087,stable_escape,S0_C1_ESCAPE_IN_WIN,C1__ESCAPE__IN_WIN__CENTER_OUTER,1,ESCAPE,IN_WIN,CENTER_OUTER,False,False
2026-07-11_16_02,0.3037303750692195,0.5158342432816208,0.38696346939067205,0.45317237493321016,0.9116195306421522,attack_or_collapse,S0_C1_ESCAPE_IN_WIN,C1__ESCAPE__IN_WIN__INNER_TOP3,1,ESCAPE,IN_WIN,INNER_TOP3,False,True
2026-07-11_16_03,0.21837713841357925,0.5489594874989168,0.3573919162289305,0.48210353134625783,0.9464517267832449,attack_or_collapse,S3_C3_WIN_CENTER,C3__NUKI__IN_REMAIN__CENTER_OUTER,3,NUKI,IN_REMAIN,CENTER_OUTER,False,False
2026-07-11_16_04,0.2001576218092931,0.5642739213669006,0.3988146414395952,0.47871222178332823,0.9454990202736941,attack_or_collapse,S1_C2_SASHI_IN_REMAIN,C2__SASHI__IN_REMAIN__MIXED,2,SASHI,IN_REMAIN,MIXED,False,False
2026-07-11_16_05,0.22328952982389508,0.5447681752927194,0.37502046550302115,0.47293893453652996,0.9409477073763305,attack_or_collapse,S0_C1_ESCAPE_IN_WIN,C1__ESCAPE__IN_WIN__MIXED,1,ESCAPE,IN_WIN,MIXED,False,False
2026-07-11_16_06,0.194749499339157,0.5609435376315528,0.3802520700000602,0.49274526465329793,0.9454531339941261,attack_or_collapse,S2_C2_WIN_IN_OUT,C2__MAKURI__IN_OUT__CENTER_OUTER,2,MAKURI,IN_OUT,CENTER_OUTER,False,False
2026-07-11_16_07,0.29774362534640636,0.5112215028866205,0.3707954517485385,0.4591958632532164,0.9056526535758127,stable_escape,S4_C4_WIN_KADO,C4__MAKURI__IN_REMAIN__OUTER_CHAIN,4,MAKURI,IN_REMAIN,OUTER_CHAIN,True,False
2026-07-11_16_08,0.2911910034270465,0.5122388126632269,0.35647879593254295,0.46110194539610205,0.9423070354734344,upset_or_flat,S1_C2_SASHI_IN_REMAIN,C2__SASHI__IN_REMAIN__INNER_CENTER,2,SASHI,IN_REMAIN,INNER_CENTER,False,False
2026-07-11_16_09,0.29554838783645493,0.5175232464764236,0.392792665610442,0.457319362690493,0.9218996246976183,attack_or_collapse,S3_C3_WIN_CENTER,C3__MAKURI_SASHI__IN_REMAIN__CENTER_OUTER,3,MAKURI_SASHI,IN_REMAIN,CENTER_OUTER,False,False
2026-07-11_16_10,0.1899949948845485,0.5729966476648398,0.3960358651111874,0.4991058558204081,0.9478510863514893,attack_or_collapse,S3_C3_WIN_CENTER,C3__MAKURI__IN_OUT__CENTER_OUTER,3,MAKURI,IN_OUT,CENTER_OUTER,False,False
2026-07-11_16_11,0.24220948542582899,0.5214323706883306,0.3315140366017345,0.45508677126693853,0.9104501389867313,neutral,S0_C1_ESCAPE_IN_WIN,C1__ESCAPE__IN_WIN__CENTER_OUTER,1,ESCAPE,IN_WIN,CENTER_OUTER,False,False
2026-07-11_16_12,0.2773242061215192,0.5108117898998981,0.35440220078559825,0.44162924387114133,0.9030150530409228,neutral,S0_C1_ESCAPE_IN_WIN,C1__ESCAPE__IN_WIN__CENTER_OUTER,1,ESCAPE,IN_WIN,CENTER_OUTER,False,False
2026-07-11_19_01,0.2053036192648075,0.5408298545050635,0.3437464064317217,0.4648404785237274,0.9482738931373531,attack_or_collapse,S2_C2_WIN_IN_OUT,C2__MAKURI__IN_OUT__OUTER_CHAIN,2,MAKURI,IN_OUT,OUTER_CHAIN,True,False
2026-07-11_19_02,0.32363990110503466,0.4790370776026155,0.33256805106981907,0.42256924785874667,0.8997184098846798,stable_escape,S0_C1_ESCAPE_IN_WIN,C1__ESCAPE__IN_WIN__MIXED,1,ESCAPE,IN_WIN,MIXED,False,False
