race_date,venue_code,race_no,race_id,trifecta,probability,actual_trifecta,trifecta_payout,hit,stake_amount,return_amount
2026-06-28,20,3,2026-06-28_20_03,2-5-4,0.5595365616665355,5-3-2,8600.0,False,100.0,0.0
2026-06-28,20,4,2026-06-28_20_04,3-1-2,0.4158533777842374,3-1-2,9220.0,True,100.0,9220.0
2026-06-28,20,5,2026-06-28_20_05,1-2-5,0.5595365616665355,4-2-1,3230.0,False,100.0,0.0
2026-06-28,20,6,2026-06-28_20_06,3-6-1,0.5595365616665355,3-1-4,1060.0,False,100.0,0.0
2026-06-28,20,7,2026-06-28_20_07,6-1-3,0.41275172295928464,6-1-3,8450.0,True,100.0,8450.0
2026-06-28,20,8,2026-06-28_20_08,2-6-1,0.4481104905600689,2-1-5,2460.0,False,100.0,0.0
2026-06-28,20,9,2026-06-28_20_09,6-4-1,0.5334302799744544,6-4-1,46210.0,True,100.0,46210.0
2026-06-28,20,10,2026-06-28_20_10,1-3-6,0.44165235066786596,1-3-2,660.0,False,100.0,0.0
2026-06-28,20,11,2026-06-28_20_11,6-3-1,0.4385027196165322,3-4-1,2110.0,False,100.0,0.0
2026-06-28,20,12,2026-06-28_20_12,3-2-1,0.4222195421183313,3-2-1,23020.0,True,100.0,23020.0
2026-06-28,21,1,2026-06-28_21_01,1-2-3,0.42221954211833135,1-2-3,800.0,True,100.0,800.0
2026-06-28,21,2,2026-06-28_21_02,1-6-4,0.43850271961653225,4-1-3,1900.0,False,100.0,0.0
2026-06-28,21,3,2026-06-28_21_03,1-4-3,0.5334302799744544,1-4-3,3170.0,True,100.0,3170.0
2026-06-28,21,4,2026-06-28_21_04,1-3-5,0.5334302799744544,1-3-5,3790.0,True,100.0,3790.0
2026-06-28,21,5,2026-06-28_21_05,1-5-4,0.5595365616665355,1-5-2,1130.0,False,100.0,0.0
2026-06-28,21,6,2026-06-28_21_06,1-3-5,0.4481104905600689,1-3-2,900.0,False,100.0,0.0
2026-06-28,21,7,2026-06-28_21_07,4-1-2,0.43850271961653225,1-2-5,860.0,False,100.0,0.0
2026-06-28,21,8,2026-06-28_21_08,3-4-5,0.41275172295928464,3-4-5,5350.0,True,100.0,5350.0
2026-06-28,21,9,2026-06-28_21_09,1-6-4,0.4481104905600689,1-2-3,860.0,False,100.0,0.0
2026-06-28,21,10,2026-06-28_21_10,1-2-6,0.5595365616665355,2-1-3,1600.0,False,100.0,0.0
2026-06-28,21,11,2026-06-28_21_11,1-5-6,0.43850271961653225,1-5-2,1000.0,False,100.0,0.0
2026-06-28,21,12,2026-06-28_21_12,1-5-4,0.5595365616665355,1-2-4,850.0,False,100.0,0.0
2026-06-28,24,1,2026-06-28_24_01,1-3-2,0.5334302799744544,1-3-2,990.0,True,100.0,990.0
2026-06-28,24,2,2026-06-28_24_02,2-4-1,0.42221954211833135,2-4-1,6460.0,True,100.0,6460.0
2026-06-28,24,3,2026-06-28_24_03,3-1-2,0.5334302799744544,3-1-2,1140.0,True,100.0,1140.0
2026-06-28,24,4,2026-06-28_24_04,1-3-4,0.41275172295928464,1-3-4,2800.0,True,100.0,2800.0
2026-06-28,24,5,2026-06-28_24_05,1-2-3,0.41275172295928464,1-2-3,1460.0,True,100.0,1460.0
2026-06-28,24,6,2026-06-28_24_06,1-2-3,0.44811049056006896,1-2-3,1230.0,True,100.0,1230.0
2026-06-28,24,7,2026-06-28_24_07,1-4-6,0.5595365616665355,1-4-2,460.0,False,100.0,0.0
2026-06-28,24,8,2026-06-28_24_08,6-1-3,0.4385027196165322,1-3-6,500.0,False,100.0,0.0
2026-06-28,24,9,2026-06-28_24_09,1-4-2,0.44165235066786596,1-2-3,1450.0,False,100.0,0.0
2026-06-28,24,10,2026-06-28_24_10,3-1-2,0.43850271961653225,1-2-3,390.0,False,100.0,0.0
2026-06-28,24,11,2026-06-28_24_11,4-2-3,0.42221954211833135,4-2-3,27470.0,True,100.0,27470.0
2026-06-28,24,12,2026-06-28_24_12,1-2-4,0.43850271961653225,1-3-4,1260.0,False,100.0,0.0
